,Pink1B9;NP3084>G4,Pink1B9;NP>Rel KK
Number of values,5,5
,,
Minimum,29.79,65.52
Maximum,38.74,70.33
Range,8.948,4.816
,,
Mean,34.92,68.91
Std. Deviation,3.606,1.946
Std. Error of Mean,1.613,0.8704
