,Pink1B9;;Ilp2 HF,Pink1B9;;Ilp2 HF,Pink1B9;;Ilp2 HF,Pink1B9;;Ilp2 HF,Pink1B9;;Ilp2 HF,Pink1B9;;Ilp2 HF,Pink1B9;;Ilp2 HF,w;;Ilp2 HF,w;;Ilp2 HF,w;;Ilp2 HF,w;;Ilp2 HF,w;;Ilp2 HF,w;;Ilp2 HF,w;;Ilp2 HF
Young,0.585378,1.996018,0.626716,1.067207,0.23622,0.914472,1.573988,0.585438,1.096213,1.05081,1.269724,1.69744,1.218881,1.173871
Aged,0.319167,0.125179,0.381595,0.561774,0.687193,0.253294,0.356097,3.221987,2.128264,1.867362,2.390497,3.770918,4.124325,2.45022
