,Pink1B9;+,+,Pink1B9;eya1/+
Number of values,10,11
,,
Minimum,8.000,10.00
Maximum,10.00,12.00
Range,2.000,2.000
,,
Mean,8.500,11.27
Std. Deviation,0.7071,0.7862
Std. Error of Mean,0.2236,0.2371
