Pink1B9;NP3084>G4,Pink1B9;NP3084>Buffy,Pink1B9;NP3084>Pink1
9,11,12
7,12,11
10,9,12
11,9,11
8,10,11
9,10,12
8,9,12
7,11,10
9,8,11
9,11,12
,10,13
,10,12
,,11
