,Pink1B9;;Ilp2 HF,Pink1B9;;Ilp2 HF,Pink1B9;;Ilp2 HF,w;;Ilp2 HF,w;;Ilp2 HF,w;;Ilp2 HF
Young,0.999999857142857,0.609365535624398,7,1.15605385714286,0.329278051598457,7
Aged,0.383471285714286,0.188231985128913,7,2.85051042857143,0.862922748657696,7
