,Pink1B9;NP3084>G4,Pink1B9;NP3084>Buffy,Pink1B9;NP3084>Pink1
Number of values,10,12,11
,,,
Minimum,25.00,10.00,5.000
Maximum,47.00,44.00,22.00
Range,22.00,34.00,17.00
,,,
Mean,36.50,21.58,12.73
Std. Deviation,7.678,9.811,4.563
Std. Error of Mean,2.428,2.832,1.376
