,Pink1B9;+;+,Pink1B9;eya1
Number of values,4,4
,,
Minimum,0.5250,0.2122
Maximum,1.843,0.4826
Range,1.318,0.2704
,,
Mean,1.101,0.3276
Std. Deviation,0.5473,0.1310
Std. Error of Mean,0.2736,0.06551
