,Pink1B9;NP3084>G4,Pink1B9;NP3084>Buffy,Pink1B9;NP3084>Pink1
Number of values,10,12,13
,,,
Minimum,7.000,8.000,10.00
Maximum,11.00,12.00,13.00
Range,4.000,4.000,3.000
,,,
Mean,8.700,10.00,11.54
Std. Deviation,1.252,1.128,0.7763
Std. Error of Mean,0.3958,0.3257,0.2153
