,Pink1B9;NP>Rel KK,Pink1B9;NP3084>G4
Number of values,4,4
,,
Minimum,0.5128,0.8823
Maximum,0.6158,1.108
Range,0.1030,0.2253
,,
Mean,0.5695,1.000
Std. Deviation,0.04505,0.1054
Std. Error of Mean,0.02252,0.05270
