,Pink1B9;+;+,Pink1B9;+;+,Pink1B9;+;+,Pink1B9;+;+,Pink1B9;+;+,Pink1B9;+;+,Pink1B9;+;+,w1118,w1118,w1118,w1118,w1118,w1118,w1118
Young,0.837161,1.104971,0.609927,1.13921,1.569337,0.739395,,0.500378,0.627072,0.677775,0.638884,0.850271,0.677884,
Aged,1.225403,1.079593,1.130262,0.770013,0.845264,0.949464,,0.304869,0.193991,0.317089,0.433222,,,
