,Pink1B9;;Ilp2 HF,Pink1B9;;Ilp2 HF, Rel E20,w;;Ilp2 HF,w;;ilp2 HF,RelE20
Number of values,8,7,6,7
,,,,
Minimum,0.6180,0.6767,1.182,1.382
Maximum,1.501,1.647,3.274,3.579
Range,0.8828,0.9708,2.092,2.197
,,,,
Mean,1.000,0.9943,2.277,2.544
Std. Deviation,0.3023,0.3724,0.7568,0.7234
Std. Error of Mean,0.1069,0.1408,0.3090,0.2734
